"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 19 02:18:59 GMT 2024","Thu Sep 19 02:19:00 GMT 2024","842","POM-practice Suite","Purchase Tests","com.globant.tests.PurchaseTest","com.globant.tests.PurchaseTest","testPurchaseProduct","testPurchaseProduct",""
"passed","Thu Sep 19 02:18:58 GMT 2024","Thu Sep 19 02:18:59 GMT 2024","859","POM-practice Suite","Purchase Tests","com.globant.tests.PurchaseTest","com.globant.tests.PurchaseTest","testPurchaseProduct","testPurchaseProduct",""
"passed","Thu Sep 19 02:18:56 GMT 2024","Thu Sep 19 02:18:57 GMT 2024","1103","POM-practice Suite","Purchase Tests","com.globant.tests.PurchaseTest","com.globant.tests.PurchaseTest","testPurchaseProduct","testPurchaseProduct",""
"passed","Thu Sep 19 02:18:57 GMT 2024","Thu Sep 19 02:18:58 GMT 2024","878","POM-practice Suite","Purchase Tests","com.globant.tests.PurchaseTest","com.globant.tests.PurchaseTest","testPurchaseProduct","testPurchaseProduct",""
"passed","Thu Sep 19 02:19:03 GMT 2024","Thu Sep 19 02:19:03 GMT 2024","327","POM-practice Suite","Remove Items Tests","com.globant.tests.RemoveItemsTest","com.globant.tests.RemoveItemsTest","testCart","testCart",""
"passed","Thu Sep 19 02:19:03 GMT 2024","Thu Sep 19 02:19:04 GMT 2024","390","POM-practice Suite","Remove Items Tests","com.globant.tests.RemoveItemsTest","com.globant.tests.RemoveItemsTest","testCart","testCart",""
"passed","Thu Sep 19 02:19:05 GMT 2024","Thu Sep 19 02:19:05 GMT 2024","552","POM-practice Suite","Remove Items Tests","com.globant.tests.RemoveItemsTest","com.globant.tests.RemoveItemsTest","testCart","testCart",""
"passed","Thu Sep 19 02:19:02 GMT 2024","Thu Sep 19 02:19:03 GMT 2024","246","POM-practice Suite","Remove Items Tests","com.globant.tests.RemoveItemsTest","com.globant.tests.RemoveItemsTest","testCart","testCart",""
"passed","Thu Sep 19 02:19:06 GMT 2024","Thu Sep 19 02:19:07 GMT 2024","813","POM-practice Suite","Log Out Tests","com.globant.tests.LogoutTest","com.globant.tests.LogoutTest","testLogout","testLogout",""
"passed","Thu Sep 19 02:19:04 GMT 2024","Thu Sep 19 02:19:05 GMT 2024","494","POM-practice Suite","Remove Items Tests","com.globant.tests.RemoveItemsTest","com.globant.tests.RemoveItemsTest","testCart","testCart",""
"passed","Thu Sep 19 02:19:01 GMT 2024","Thu Sep 19 02:19:01 GMT 2024","819","POM-practice Suite","Purchase Tests","com.globant.tests.PurchaseTest","com.globant.tests.PurchaseTest","testPurchaseProduct","testPurchaseProduct",""
